N,S_wide,S_narrow,rel_err_wide,rel_err_narrow
100,0.81920000,0.97843200,0.13267857,0.03590704
600,1.07520000,0.93243733,0.13835938,0.01278945
1100,1.02400000,0.95220364,0.08415179,0.00813797
1600,0.90880000,0.94864000,0.03781528,0.00436500
2100,0.96548571,0.93422933,0.02220026,0.01089218
2600,0.92553846,0.94851938,0.02009357,0.00423730
3100,0.94472258,0.95132077,0.00021746,0.00720324
3600,1.03537778,0.93034667,0.09619792,0.01500292
4100,1.04148293,0.94294166,0.10266170,0.00166808
4600,0.94831304,0.95198052,0.00401883,0.00790175
5100,1.00392157,0.94153788,0.06289391,0.00315431
5600,0.89417143,0.94729600,0.05330317,0.00294205
6100,0.92327869,0.94121128,0.02248609,0.00350010
6600,0.92625455,0.95448436,0.01933542,0.01055267
7100,0.98361690,0.94133003,0.04139651,0.00337438
7600,0.93372632,0.95119832,0.01142475,0.00707359
8100,0.97343210,0.94745916,0.03061343,0.00311479
8600,0.94422326,0.94765544,0.00031120,0.00332260
9100,0.95423297,0.94755446,0.01028651,0.00321569
9600,0.92906667,0.94602667,0.01635811,0.00159815
10100,0.91855842,0.93570788,0.02748364,0.00932678
10600,0.92353208,0.94967547,0.02221782,0.00546129
11100,1.00554955,0.94588541,0.06461753,0.00144859
11600,0.99398621,0.93852910,0.05237493,0.00633983
12100,0.93852562,0.93893395,0.00634352,0.00591121
12600,0.93460317,0.94528000,0.01049638,0.00080762
13100,0.97240916,0.94367267,0.02953040,0.00089412
13600,0.96828235,0.93941647,0.02516118,0.00540034
14100,0.95137589,0.94097793,0.00726159,0.00374716
14600,0.90546849,0.94518181,0.04134249,0.00070366
15100,0.96228874,0.94985494,0.01881549,0.00565130
15600,0.96361026,0.95430892,0.02021464,0.01036692
16100,0.96675776,0.94274783,0.02354703,0.00187330
16600,0.98883855,0.95024578,0.04692489,0.00606511
17100,0.98028538,0.94490798,0.03786929,0.00041375
17600,0.87970909,0.94493382,0.06861505,0.00044111
18100,0.92725746,0.93899810,0.01827360,0.00584329
18600,0.93261075,0.93992327,0.01260584,0.00486377
19100,0.92749738,0.94539728,0.01801958,0.00093179
